['roate', 'clint', 'aptly']                            ['bbyyb', 'bybby', 'ggggg']                            aptly True
['roate', 'macon', 'abhor', 'arbor']                   ['yyybb', 'bybgb', 'gybgg', 'ggggg']                   arbor True
['roate', 'macon', 'abhor', 'ardor']                   ['yyybb', 'bybgb', 'gbbgg', 'ggggg']                   ardor True
['roate', 'balms', 'cedar', 'arena']                   ['ybyby', 'bybbb', 'bybyy', 'ggggg']                   arena True
['roate', 'aglus', 'argue']                            ['ybybg', 'gybgb', 'ggggg']                            argue True
['roate', 'aglus', 'arise']                            ['ybybg', 'gbbby', 'ggggg']                            arise True
['roate', 'macon', 'armor']                            ['yyybb', 'yybgb', 'ggggg']                            armor True
['roate', 'macon', 'aroma']                            ['yyybb', 'yybyb', 'ggggg']                            aroma True
['roate', 'adore', 'arose']                            ['yyybg', 'gbgyg', 'ggggg']                            arose True
['roate', 'carrs', 'array']                            ['ybybb', 'bygyb', 'ggggg']                            array True
['roate', 'macon', 'abhor', 'arrow']                   ['yyybb', 'bybgb', 'gbbgy', 'ggggg']                   arrow True
['roate', 'macon', 'apron', 'arson']                   ['yyybb', 'bybgg', 'gbygg', 'ggggg']                   arson True
['roate', 'alway', 'artsy']                            ['ybyyb', 'gbbbg', 'ggggg']                            artsy True
['roate', 'bloat', 'ascot']                            ['byyyb', 'bbyyg', 'ggggg']                            ascot True
['roate', 'genal', 'ashen']                            ['bbyby', 'byyyb', 'ggggg']                            ashen True
['roate', 'galis', 'aside']                            ['bbybg', 'bybyy', 'ggggg']                            aside True
['roate', 'genal', 'abbey', 'askew']                   ['bbyby', 'bybyb', 'gbbgb', 'ggggg']                   askew True
['roate', 'lysin', 'gassy', 'assay']                   ['bbybb', 'bygbb', 'bygyg', 'ggggg']                   assay True
['roate', 'clept', 'asset']                            ['bbyyy', 'bbybg', 'ggggg']                            asset True
['roate', 'bloat', 'atoll']                            ['byyyb', 'bygyy', 'ggggg']                            atoll True
['roate', 'atone']                                     ['byyyg', 'ggggg']                                     atone True
['roate', 'clint', 'attic']                            ['bbyyb', 'ybyby', 'ggggg']                            attic True
['roate', 'linos', 'audio']                            ['byybb', 'bybyb', 'ggggg']                            audio True
['roate', 'clint', 'admit', 'audit']                   ['bbyyb', 'bbybg', 'gybgg', 'ggggg']                   audit True
['roate', 'carrs', 'augur']                            ['ybybb', 'byybb', 'ggggg']                            augur True
['roate', 'snipy', 'aunty']                            ['bbygb', 'bybbg', 'ggggg']                            aunty True
['roate', 'slick', 'avail']                            ['bbgbb', 'byybb', 'ggggg']                            avail True
['roate', 'tweel', 'avert']                            ['ybyyy', 'ybgbb', 'ggggg']                            avert True
['roate', 'lysin', 'avian']                            ['bbybb', 'bbbyg', 'ggggg']                            avian True
['roate', 'linos', 'audio', 'avoid']                   ['byybb', 'bybyb', 'gbygy', 'ggggg']                   avoid True
['roate', 'slink', 'await']                            ['bbgyb', 'bbybb', 'ggggg']                            await True
['roate', 'plish', 'adawn', 'awake']                   ['bbgbg', 'bbbbb', 'gbgyb', 'ggggg']                   awake True
['roate', 'scind', 'award']                            ['ybgbb', 'bbbbg', 'ggggg']                            award True
['roate', 'crags', 'blare', 'aware']                   ['ybgbg', 'bygbb', 'bbggg', 'ggggg']                   aware True
['roate', 'slick', 'aargh', 'awash']                   ['bbgbb', 'ybbbb', 'gybbg', 'ggggg']                   awash True
['roate', 'lysin', 'alpha', 'awful']                   ['bbybb', 'ybbbb', 'gybbb', 'ggggg']                   awful True
['roate', 'aband', 'awoke']                            ['byybg', 'gbbbb', 'ggggg']                            awoke True
['roate', 'lysin', 'alibi', 'axial']                   ['bbybb', 'ybbyb', 'gygbb', 'ggggg']                   axial True
['roate', 'linos', 'axiom']                            ['byybb', 'bybgb', 'ggggg']                            axiom True
['roate', 'linos', 'axion']                            ['byybb', 'byygb', 'ggggg']                            axion True
['roate', 'aglus', 'azure']                            ['ybybg', 'gbbyb', 'ggggg']                            azure True
['roate', 'linos', 'bacon']                            ['byybb', 'bbygb', 'ggggg']                            bacon True
['roate', 'galis', 'badge']                            ['bbybg', 'ygbbb', 'ggggg']                            badge True
['roate', 'lysin', 'balmy', 'badly']                   ['bbybb', 'yybbb', 'ggybg', 'ggggg']                   badly True
